lang,type,dimension,description
ru,attribute,artisanal-excellence,"Бренды, приверженные исключительному ручному мастерству и традиционным методам производства, демонстрирующие бескомпромиссное качество и аутентичные производственные подходы."
zh,attribute,artisanal-excellence,致力于卓越手工艺和传统生产方法的品牌，标志着不妥协的质量和真实的生产方式。
en,attribute,artisanal-excellence,"Brands committed to exceptional handcraft and traditional production methods, signaling uncompromising quality and authentic production approaches."
ru,attribute,cultural-ambassador,"Бренды, активно демонстрирующие отличительные культурные элементы через свои продукты, сторителлинг и присутствие на рынке."
zh,attribute,cultural-ambassador,通过产品、故事讲述和市场存在积极展示独特文化元素的品牌。
en,attribute,cultural-ambassador,"Brands actively showcasing distinctive cultural elements through their products, storytelling, and market presence."
ru,attribute,founder-led,"Бренды, где основатели остаются активными лидерами с существенным влиянием на разработку продукции, стандарты качества и направление развития компании."
zh,attribute,founder-led,创始人仍然作为活跃领导者，对产品开发、质量标准和公司方向有重大影响的品牌。
en,attribute,founder-led,"Brands where founders remain active leaders with significant influence on product development, quality standards, and company direction."
ru,attribute,heritage-brand,"Бренды с более чем 50-летней историей и документированным культурным влиянием, демонстрирующие проверенную устойчивость и традиционный опыт."
zh,attribute,heritage-brand,拥有50多年历史和有据可查的文化影响力，代表着经过验证的持久力和传统专业知识的品牌。
en,attribute,heritage-brand,"Brands with 50+ years of history and documented cultural impact, representing proven staying power and traditional expertise."
ru,attribute,innovation-leader,"Бренды, сочетающие традиционные основы с прогрессивными подходами, демонстрирующие динамизм, адаптивность и ориентированное на будущее мышление."
zh,attribute,innovation-leader,将传统基础与前瞻性方法相结合的品牌，展现活力、适应性和面向未来的思维。
en,attribute,innovation-leader,"Brands blending traditional foundations with forward-thinking approaches, signaling dynamism, adaptability, and future-oriented thinking."
ru,attribute,premium-positioning,"Бренды, позиционируемые в верхних сегментах рынка с превосходным качеством, отличительными атрибутами и ценами выше средних по категории."
zh,attribute,premium-positioning,定位于高端市场细分、具有卓越品质、独特属性和高于类别平均价格的品牌。
en,attribute,premium-positioning,"Brands positioned in upper market segments with superior quality, distinctive attributes, and prices above category averages."
ru,attribute,regional-icon,"Бренды, которые аутентично представляют определенные местные регионы через ингредиенты, методы, традиции или культурное значение."
zh,attribute,regional-icon,通过原料、方法、传统或文化意义真实代表特定本地区域的品牌。
en,attribute,regional-icon,"Brands that authentically represent specific local regions through ingredients, methods, tradition, or cultural significance."
ru,attribute,sustainability-pioneer,"Бренды с исключительными экологическими и социальными практиками, демонстрирующие лидерство в этичных и устойчивых бизнес-подходах."
zh,attribute,sustainability-pioneer,具有卓越环境和社会实践的品牌，展示道德和可持续商业方法的领导地位。
en,attribute,sustainability-pioneer,Brands with exceptional environmental and social practices that demonstrate leadership in ethical and sustainable business approaches.
ru,market,brazil,"Контент, посвященный бразильским брендам, рынкам и потребительским тенденциям в крупнейшей экономике Латинской Америки с яркими культурными влияниями и разнообразными потребительскими возможностями."
zh,market,brazil,专注于巴西品牌、市场和消费趋势的内容，巴西作为拉丁美洲最大经济体，拥有充满活力的文化影响和多样化的消费机会。
en,market,brazil,"Content focusing on Brazilian brands, markets, and consumer trends in Latin America's largest economy with vibrant cultural influences and diverse consumer opportunities."
ru,market,china,"Контент, посвященный китайским брендам, рынкам и потребительским тенденциям во второй по величине экономике мира с характерными культурными традициями и быстро развивающимися потребительскими предпочтениями."
zh,market,china,专注于中国品牌、市场和消费趋势的内容，中国作为全球第二大经济体，拥有独特的文化传统和快速演变的消费者偏好。
en,market,china,"Content focusing on Chinese brands, markets, and consumer trends in the world's second-largest economy with distinctive cultural traditions and rapidly evolving consumer preferences."
ru,market,india,"Контент, посвященный индийским брендам, рынкам и потребительским тенденциям в самой населенной стране мира с древними культурными традициями и быстро модернизирующейся потребительской экономикой."
zh,market,india,专注于印度品牌、市场和消费趋势的内容，印度作为世界人口最多的国家，拥有古老的文化传统和快速现代化的消费经济。
en,market,india,"Content focusing on Indian brands, markets, and consumer trends in the world's most populous nation with ancient cultural traditions and rapidly modernizing consumer economy."
ru,market,russia,"Контент, посвященный российским брендам, рынкам и потребительским тенденциям в одной из стран-основательниц БРИКС с богатым культурным наследием и разнообразной потребительской экономикой."
zh,market,russia,专注于俄罗斯品牌、市场和消费趋势的内容，俄罗斯作为金砖国家创始成员之一，拥有丰富的文化遗产和多元化的消费经济。
en,market,russia,"Content focusing on Russian brands, markets, and consumer trends in one of the founding BRICS nations with a rich cultural heritage and diverse consumer economy."
ru,market,south-africa,"Контент, посвященный южноафриканским брендам, рынкам и потребительским тенденциям в самой индустриализированной экономике Африки с характерным культурным разнообразием и творческими инновациями."
zh,market,south-africa,专注于南非品牌、市场和消费趋势的内容，南非作为非洲最工业化的经济体，拥有独特的文化多样性和创意创新。
en,market,south-africa,"Content focusing on South African brands, markets, and consumer trends in Africa's most industrialized economy with distinctive cultural diversity and creative innovation."
ru,sector,artisan-confectionery,"Российские кондитерские изделия, сочетающие исторические рецепты с современными инновациями, создают характерные сладости с культурным значением."
zh,sector,artisan-confectionery,俄罗斯糖果融合历史配方与当代创新，创造具有文化意义的独特甜点。
en,sector,artisan-confectionery,"Russian confectionery blending historical recipes with contemporary innovation, creating distinctive sweets with cultural significance."
zh,sector,artisan-ceramics,展示独特工艺、历史技术和独特装饰传统的俄罗斯瓷器和陶瓷品牌。
ru,sector,artisanal-spirits,"Крафтовые дистиллерии, производящие премиальную водку и другие спиртные напитки с характерным вкусом и аутентичными методами производства."
zh,sector,artisanal-spirits,以独特特性和真实生产方法生产优质伏特加和其他烈酒的手工酿酒厂。
en,sector,artisanal-spirits,Craft distilleries producing premium vodka and other spirits with distinctive character and authentic production methods.
ru,sector,fashion-accessories,"Российская мода и аксессуары, демонстрирующие творческий дизайн, культурные влияния и практическую международную привлекательность."
zh,sector,fashion-accessories,展示设计创意、文化影响和实用国际吸引力的俄罗斯时尚与配饰。
en,sector,fashion-accessories,"Russian fashion and accessories showcasing design creativity, cultural influences, and practical international appeal."
ru,sector,fermented-dairy,"Традиционные российские ферментированные молочные продукты с характерными пробиотическими культурами и уникальными методами производства, вызывающие растущий глобальный интерес к оздоровлению."
zh,sector,fermented-dairy,传统俄罗斯发酵乳制品，拥有独特益生菌培养物和独特生产方法，全球健康市场吸引力不断增长。
en,sector,fermented-dairy,Traditional Russian fermented dairy products featuring distinctive probiotic cultures and unique production methods with growing global wellness appeal.
ru,sector,gourmet-foods,"Высококачественные специализированные продукты питания из различных регионов России, отличающиеся уникальными ингредиентами, традиционными рецептами и инновационными кулинарными подходами."
zh,sector,gourmet-foods,来自俄罗斯各地区的高品质特色食品，呈现独特原料、传统配方和创新烹饪手法。
en,sector,gourmet-foods,"High-quality specialty foods from diverse Russian regions featuring unique ingredients, traditional recipes, and innovative culinary approaches."
ru,sector,halal-foods,"Высококачественные пищевые продукты, соответствующие исламским диетическим законам, производимые в регионах со значительным мусульманским населением, таких как Татарстан и Башкортостан."
zh,sector,halal-foods,符合伊斯兰饮食法的高品质食品，产自鞑靼斯坦和巴什科尔托斯坦等穆斯林人口众多的地区。
en,sector,halal-foods,"High-quality food products compliant with Islamic dietary laws, produced in regions with significant Muslim populations like Tatarstan and Bashkortostan."
zh,sector,honey-bee-products,"""独特的蜂蜜品种和蜂相关产品，源自俄罗斯多样化且原始的自然景观，展现天然纯净和地区多样性。"""
ru,sector,honey-bee-products,"Уникальные сорта мёда и продукты пчеловодства из разнообразных и нетронутых ландшафтов России, демонстрирующие природную чистоту и региональное разнообразие."
en,sector,honey-bee-products,"Unique honey varieties and bee-related products from Russia's diverse and pristine landscapes, showcasing natural purity and regional diversity."
ru,sector,hotels-resorts,"Российские бутик-отели и курорты, предлагающие уникальный культурный опыт и самобытные традиции гостеприимства."
zh,sector,hotels-resorts,提供独特文化体验和特色款待传统的俄罗斯精品酒店和度假村。
en,sector,hotels-resorts,Russian boutique hotels and resorts offering unique cultural experiences and distinctive hospitality traditions.
ru,sector,jewelry-watches,"Российские ювелирные и часовые бренды, демонстрирующие отличительный дизайн, компетенцию в области драгоценных камней и точное мастерство."
zh,sector,jewelry-watches,展示独特设计、宝石专业知识和精密工艺的俄罗斯珠宝和手表品牌。
en,sector,jewelry-watches,"Russian jewelry and watch brands showcasing distinctive design, gemstone expertise, and precision craftsmanship."
ru,sector,mineral-waters,"Натуральные минеральные воды из чистейших российских источников, предлагающие уникальные геологические составы и оздоровительные напитки."
zh,sector,mineral-waters,来自原始俄罗斯泉水的天然矿泉水，提供独特的地质组成和以健康为中心的饮料选择。
en,sector,mineral-waters,"Natural mineral waters from pristine Russian springs, offering unique geological compositions and health-focused beverage options."
ru,sector,natural-beauty,"Бренды ухода за кожей и косметики, использующие уникальные сибирские и дальневосточные растительные ингредиенты с инновационными формулами."
zh,sector,natural-beauty,利用独特西伯利亚和远东植物成分的创新配方的护肤和美容品牌。
en,sector,natural-beauty,Skincare and beauty brands leveraging unique Siberian and Far Eastern botanical ingredients with innovative formulations.
ru,sector,natural-supplements,"Инновационные пищевые добавки, использующие уникальные сибирские растительные ингредиенты и традиционные знания о травяном оздоровлении."
zh,sector,natural-supplements,利用独特西伯利亚植物成分和传统草药健康知识的创新营养补充剂。
en,sector,natural-supplements,Innovative nutritional supplements leveraging unique Siberian botanical ingredients and traditional herbal wellness knowledge.
ru,sector,artisan-ceramics,"Российские бренды фарфора и керамики, демонстрирующие отличительное мастерство, исторические техники и уникальные декоративные традиции."
en,sector,artisan-ceramics,"Russian porcelain and ceramic brands showcasing distinctive craftsmanship, historic techniques, and unique decorative traditions."
ru,sector,cured-meats,"Ремесленные российские продукты из вяленого мяса, демонстрирующие уникальные региональные вкусовые профили и традиционные техники консервирования."
zh,sector,cured-meats,展示独特地区风味特性和传统保存技术的俄罗斯手工腌制肉品。
en,sector,cured-meats,Artisanal Russian cured meat products showcasing unique regional flavor profiles and traditional preservation techniques.
ru,sector,specialty-cheeses,"Ремесленные российские сыроделы, создающие отличительные сорта с уникальными региональными характеристиками и традиционными методами производства."
zh,sector,specialty-cheeses,俄罗斯手工奶酪制造商创造具有独特地区特色和传统生产方法的独特奶酪品种。
en,sector,specialty-cheeses,Artisanal Russian cheesemakers creating distinctive varieties with unique regional characteristics and traditional production methods.
ru,sector,wine,"Развивающееся российское винное производство из регионов, таких как Краснодар, демонстрирующее уникальный терруар и инновационные техники виноделия."
zh,sector,wine,来自克拉斯诺达尔等地区的新兴俄罗斯葡萄酒生产，展示独特风土和创新酿酒技术。
en,sector,wine,"Emerging Russian wine production from regions like Krasnodar, showcasing unique terroir and innovative winemaking techniques."
ru,signal,export-ready,"Бренды с продукцией, упаковкой и сертификатами, подготовленными для международных рынков."
zh,signal,export-ready,已为国际市场准备好产品、包装和认证的品牌。
en,signal,export-ready,"Brands with products, packaging, and certifications prepared for international markets."
ru,signal,franchise-ready,"Сервисные бренды с систематизированными операциями и поддерживающей инфраструктурой, подготовленные для расширения через франчайзинг."
zh,signal,franchise-ready,已开发出可复制的业务系统，具备详细操作手册和特许经营支持结构的品牌。
en,signal,franchise-ready,Service-based brands with systematized operations and support infrastructure prepared for franchising expansion.
ru,signal,investment-ready,"Бренды, которые прошли проверку и активно ищут капитальных партнеров для конкретных инициатив роста, приобретений или развития."
zh,signal,investment-ready,已准备好接受国际投资，具有明确的商业模式、管理架构和增长计划的品牌。
en,signal,investment-ready,"Brands that have been vetted and are actively seeking capital partners for specific growth initiatives, acquisitions, or developments."
ru,signal,rapid-growth,"Бренды, демонстрирующие значительное расширение бизнеса, увеличение присутствия на рынке и ускоренный рост доходов."
zh,signal,rapid-growth,展示显著业务扩张、增加市场存在感和加速收入增长的品牌。
en,signal,rapid-growth,"Brands demonstrating significant business expansion, increasing market presence, and accelerated revenue growth."