slug,language,category,paths
gourmet-foods,ru,sectors,"./_tags/ru/sectors/gourmet-foods.md, ./_discovery/ru/sectors/gourmet-foods.md, ./_dimensions/ru/sectors/gourmet-foods.md"
fermented-dairy,ru,sectors,"./_tags/ru/sectors/fermented-dairy.md, ./_discovery/ru/sectors/fermented-dairy.md, ./_dimensions/ru/sectors/fermented-dairy.md"
honey-bee-products,ru,sectors,"./_tags/ru/sectors/honey-bee-products.md, ./_discovery/ru/sectors/honey-bee-products.md, ./_dimensions/ru/sectors/honey-bee-products.md"
specialty-cheeses,ru,sectors,"./_tags/ru/sectors/specialty-cheeses.md, ./_discovery/ru/sectors/specialty-cheeses.md, ./_dimensions/ru/sectors/specialty-cheeses.md"
mineral-waters,ru,sectors,"./_tags/ru/sectors/mineral-waters.md, ./_discovery/ru/sectors/mineral-waters.md, ./_dimensions/ru/sectors/mineral-waters.md"
jewelry-watches,ru,sectors,"./_tags/ru/sectors/jewelry-watches.md, ./_discovery/ru/sectors/jewelry-watches.md, ./_dimensions/ru/sectors/jewelry-watches.md"
artisan-confectionery,ru,sectors,"./_tags/ru/sectors/artisan-confectionery.md, ./_discovery/ru/sectors/artisan-confectionery.md, ./_dimensions/ru/sectors/artisan-confectionery.md"
hotels-resorts,ru,sectors,"./_tags/ru/sectors/hotels-resorts.md, ./_discovery/ru/sectors/hotels-resorts.md, ./_dimensions/ru/sectors/hotels-resorts.md"
wine,ru,sectors,"./_tags/ru/sectors/wine.md, ./_discovery/ru/sectors/wine.md, ./_dimensions/ru/sectors/wine.md"
investment-ready,ru,signals,"./_tags/ru/signals/investment-ready.md, ./_discovery/ru/signals/investment-ready.md, ./_dimensions/ru/signals/investment-ready.md"
export-ready,ru,signals,"./_tags/ru/signals/export-ready.md, ./_discovery/ru/signals/export-ready.md, ./_dimensions/ru/signals/export-ready.md"
franchise-ready,ru,signals,"./_tags/ru/signals/franchise-ready.md, ./_discovery/ru/signals/franchise-ready.md, ./_dimensions/ru/signals/franchise-ready.md"
rapid-growth,ru,signals,"./_tags/ru/signals/rapid-growth.md, ./_discovery/ru/signals/rapid-growth.md, ./_dimensions/ru/signals/rapid-growth.md"
premium-positioning,ru,attributes,"./_tags/ru/attributes/premium-positioning.md, ./_discovery/ru/attributes/premium-positioning.md, ./_dimensions/ru/attributes/premium-positioning.md"
innovation-leader,ru,attributes,"./_tags/ru/attributes/innovation-leader.md, ./_discovery/ru/attributes/innovation-leader.md, ./_dimensions/ru/attributes/innovation-leader.md"
cultural-ambassador,ru,attributes,"./_tags/ru/attributes/cultural-ambassador.md, ./_discovery/ru/attributes/cultural-ambassador.md, ./_dimensions/ru/attributes/cultural-ambassador.md"
artisanal-excellence,ru,attributes,"./_tags/ru/attributes/artisanal-excellence.md, ./_discovery/ru/attributes/artisanal-excellence.md, ./_dimensions/ru/attributes/artisanal-excellence.md"
sustainability-pioneer,ru,attributes,"./_tags/ru/attributes/sustainability-pioneer.md, ./_discovery/ru/attributes/sustainability-pioneer.md, ./_dimensions/ru/attributes/sustainability-pioneer.md"
founder-led,ru,attributes,"./_tags/ru/attributes/founder-led.md, ./_discovery/ru/attributes/founder-led.md, ./_dimensions/ru/attributes/founder-led.md"
regional-icon,ru,attributes,"./_tags/ru/attributes/regional-icon.md, ./_discovery/ru/attributes/regional-icon.md, ./_dimensions/ru/attributes/regional-icon.md"
heritage-brand,ru,attributes,"./_tags/ru/attributes/heritage-brand.md, ./_discovery/ru/attributes/heritage-brand.md, ./_dimensions/ru/attributes/heritage-brand.md"
china,ru,markets,"./_tags/ru/markets/china.md, ./_discovery/ru/markets/china.md, ./_dimensions/ru/markets/china.md"
brazil,ru,markets,"./_tags/ru/markets/brazil.md, ./_discovery/ru/markets/brazil.md, ./_dimensions/ru/markets/brazil.md"
south-africa,ru,markets,"./_tags/ru/markets/south-africa.md, ./_discovery/ru/markets/south-africa.md, ./_dimensions/ru/markets/south-africa.md"
india,ru,markets,"./_tags/ru/markets/india.md, ./_discovery/ru/markets/india.md, ./_dimensions/ru/markets/india.md"
russia,ru,markets,"./_tags/ru/markets/russia.md, ./_discovery/ru/markets/russia.md, ./_dimensions/ru/markets/russia.md"
gourmet-foods,zh,sectors,"./_tags/zh/sectors/gourmet-foods.md, ./_discovery/zh/sectors/gourmet-foods.md, ./_dimensions/zh/sectors/gourmet-foods.md"
fermented-dairy,zh,sectors,"./_tags/zh/sectors/fermented-dairy.md, ./_discovery/zh/sectors/fermented-dairy.md, ./_dimensions/zh/sectors/fermented-dairy.md"
honey-bee-products,zh,sectors,"./_tags/zh/sectors/honey-bee-products.md, ./_discovery/zh/sectors/honey-bee-products.md, ./_dimensions/zh/sectors/honey-bee-products.md"
specialty-cheeses,zh,sectors,"./_tags/zh/sectors/specialty-cheeses.md, ./_discovery/zh/sectors/specialty-cheeses.md, ./_dimensions/zh/sectors/specialty-cheeses.md"
mineral-waters,zh,sectors,"./_tags/zh/sectors/mineral-waters.md, ./_discovery/zh/sectors/mineral-waters.md, ./_dimensions/zh/sectors/mineral-waters.md"
jewelry-watches,zh,sectors,"./_tags/zh/sectors/jewelry-watches.md, ./_discovery/zh/sectors/jewelry-watches.md, ./_dimensions/zh/sectors/jewelry-watches.md"
artisan-confectionery,zh,sectors,"./_tags/zh/sectors/artisan-confectionery.md, ./_discovery/zh/sectors/artisan-confectionery.md, ./_dimensions/zh/sectors/artisan-confectionery.md"
hotels-resorts,zh,sectors,"./_tags/zh/sectors/hotels-resorts.md, ./_discovery/zh/sectors/hotels-resorts.md, ./_dimensions/zh/sectors/hotels-resorts.md"
wine,zh,sectors,"./_tags/zh/sectors/wine.md, ./_discovery/zh/sectors/wine.md, ./_dimensions/zh/sectors/wine.md"
investment-ready,zh,signals,"./_tags/zh/signals/investment-ready.md, ./_discovery/zh/signals/investment-ready.md, ./_dimensions/zh/signals/investment-ready.md"
export-ready,zh,signals,"./_tags/zh/signals/export-ready.md, ./_discovery/zh/signals/export-ready.md, ./_dimensions/zh/signals/export-ready.md"
franchise-ready,zh,signals,"./_tags/zh/signals/franchise-ready.md, ./_discovery/zh/signals/franchise-ready.md, ./_dimensions/zh/signals/franchise-ready.md"
rapid-growth,zh,signals,"./_tags/zh/signals/rapid-growth.md, ./_discovery/zh/signals/rapid-growth.md, ./_dimensions/zh/signals/rapid-growth.md"
premium-positioning,zh,attributes,"./_tags/zh/attributes/premium-positioning.md, ./_discovery/zh/attributes/premium-positioning.md, ./_dimensions/zh/attributes/premium-positioning.md"
innovation-leader,zh,attributes,"./_tags/zh/attributes/innovation-leader.md, ./_discovery/zh/attributes/innovation-leader.md, ./_dimensions/zh/attributes/innovation-leader.md"
cultural-ambassador,zh,attributes,"./_tags/zh/attributes/cultural-ambassador.md, ./_discovery/zh/attributes/cultural-ambassador.md, ./_dimensions/zh/attributes/cultural-ambassador.md"
artisanal-excellence,zh,attributes,"./_tags/zh/attributes/artisanal-excellence.md, ./_discovery/zh/attributes/artisanal-excellence.md, ./_dimensions/zh/attributes/artisanal-excellence.md"
sustainability-pioneer,zh,attributes,"./_tags/zh/attributes/sustainability-pioneer.md, ./_discovery/zh/attributes/sustainability-pioneer.md, ./_dimensions/zh/attributes/sustainability-pioneer.md"
founder-led,zh,attributes,"./_tags/zh/attributes/founder-led.md, ./_discovery/zh/attributes/founder-led.md, ./_dimensions/zh/attributes/founder-led.md"
regional-icon,zh,attributes,"./_tags/zh/attributes/regional-icon.md, ./_discovery/zh/attributes/regional-icon.md, ./_dimensions/zh/attributes/regional-icon.md"
heritage-brand,zh,attributes,"./_tags/zh/attributes/heritage-brand.md, ./_discovery/zh/attributes/heritage-brand.md, ./_dimensions/zh/attributes/heritage-brand.md"
china,zh,markets,"./_tags/zh/markets/china.md, ./_discovery/zh/markets/china.md, ./_dimensions/zh/markets/china.md"
brazil,zh,markets,"./_tags/zh/markets/brazil.md, ./_discovery/zh/markets/brazil.md, ./_dimensions/zh/markets/brazil.md"
south-africa,zh,markets,"./_tags/zh/markets/south-africa.md, ./_discovery/zh/markets/south-africa.md, ./_dimensions/zh/markets/south-africa.md"
india,zh,markets,"./_tags/zh/markets/india.md, ./_discovery/zh/markets/india.md, ./_dimensions/zh/markets/india.md"
russia,zh,markets,"./_tags/zh/markets/russia.md, ./_discovery/zh/markets/russia.md, ./_dimensions/zh/markets/russia.md"
gourmet-foods,en,sectors,"./_tags/en/sectors/gourmet-foods.md, ./_discovery/en/sectors/gourmet-foods.md, ./_dimensions/en/sectors/gourmet-foods.md"
fermented-dairy,en,sectors,"./_tags/en/sectors/fermented-dairy.md, ./_discovery/en/sectors/fermented-dairy.md, ./_dimensions/en/sectors/fermented-dairy.md"
honey-bee-products,en,sectors,"./_tags/en/sectors/honey-bee-products.md, ./_discovery/en/sectors/honey-bee-products.md, ./_dimensions/en/sectors/honey-bee-products.md"
specialty-cheeses,en,sectors,"./_tags/en/sectors/specialty-cheeses.md, ./_discovery/en/sectors/specialty-cheeses.md, ./_dimensions/en/sectors/specialty-cheeses.md"
halal-food-products,en,sectors,"./_tags/en/sectors/halal-food-products.md, ./_discovery/en/sectors/halal-food-products.md, ./_dimensions/en/sectors/halal-food-products.md"
mineral-waters,en,sectors,"./_tags/en/sectors/mineral-waters.md, ./_discovery/en/sectors/mineral-waters.md, ./_dimensions/en/sectors/mineral-waters.md"
jewelry-watches,en,sectors,"./_tags/en/sectors/jewelry-watches.md, ./_discovery/en/sectors/jewelry-watches.md, ./_dimensions/en/sectors/jewelry-watches.md"
artisan-confectionery,en,sectors,"./_tags/en/sectors/artisan-confectionery.md, ./_discovery/en/sectors/artisan-confectionery.md, ./_dimensions/en/sectors/artisan-confectionery.md"
hotels-resorts,en,sectors,"./_tags/en/sectors/hotels-resorts.md, ./_discovery/en/sectors/hotels-resorts.md, ./_dimensions/en/sectors/hotels-resorts.md"
wine,en,sectors,"./_tags/en/sectors/wine.md, ./_discovery/en/sectors/wine.md, ./_dimensions/en/sectors/wine.md"
investment-ready,en,signals,"./_tags/en/signals/investment-ready.md, ./_discovery/en/signals/investment-ready.md, ./_dimensions/en/signals/investment-ready.md"
export-ready,en,signals,"./_tags/en/signals/export-ready.md, ./_discovery/en/signals/export-ready.md, ./_dimensions/en/signals/export-ready.md"
franchise-ready,en,signals,"./_tags/en/signals/franchise-ready.md, ./_discovery/en/signals/franchise-ready.md, ./_dimensions/en/signals/franchise-ready.md"
rapid-growth,en,signals,"./_tags/en/signals/rapid-growth.md, ./_discovery/en/signals/rapid-growth.md, ./_dimensions/en/signals/rapid-growth.md"
premium-positioning,en,attributes,"./_tags/en/attributes/premium-positioning.md, ./_discovery/en/attributes/premium-positioning.md, ./_dimensions/en/attributes/premium-positioning.md"
innovation-leader,en,attributes,"./_tags/en/attributes/innovation-leader.md, ./_discovery/en/attributes/innovation-leader.md, ./_dimensions/en/attributes/innovation-leader.md"
cultural-ambassador,en,attributes,"./_tags/en/attributes/cultural-ambassador.md, ./_discovery/en/attributes/cultural-ambassador.md, ./_dimensions/en/attributes/cultural-ambassador.md"
artisanal-excellence,en,attributes,"./_tags/en/attributes/artisanal-excellence.md, ./_discovery/en/attributes/artisanal-excellence.md, ./_dimensions/en/attributes/artisanal-excellence.md"
sustainability-pioneer,en,attributes,"./_tags/en/attributes/sustainability-pioneer.md, ./_discovery/en/attributes/sustainability-pioneer.md, ./_dimensions/en/attributes/sustainability-pioneer.md"
founder-led,en,attributes,"./_tags/en/attributes/founder-led.md, ./_discovery/en/attributes/founder-led.md, ./_dimensions/en/attributes/founder-led.md"
regional-icon,en,attributes,"./_tags/en/attributes/regional-icon.md, ./_discovery/en/attributes/regional-icon.md, ./_dimensions/en/attributes/regional-icon.md"
heritage-brand,en,attributes,"./_tags/en/attributes/heritage-brand.md, ./_discovery/en/attributes/heritage-brand.md, ./_dimensions/en/attributes/heritage-brand.md"
china,en,markets,"./_tags/en/markets/china.md, ./_discovery/en/markets/china.md, ./_dimensions/en/markets/china.md"
brazil,en,markets,"./_tags/en/markets/brazil.md, ./_discovery/en/markets/brazil.md, ./_dimensions/en/markets/brazil.md"
south-africa,en,markets,"./_tags/en/markets/south-africa.md, ./_discovery/en/markets/south-africa.md, ./_dimensions/en/markets/south-africa.md"
india,en,markets,"./_tags/en/markets/india.md, ./_discovery/en/markets/india.md, ./_dimensions/en/markets/india.md"
russia,en,markets,"./_tags/en/markets/russia.md, ./_discovery/en/markets/russia.md, ./_dimensions/en/markets/russia.md"
natural-supplements,ru,sectors,"./_discovery/ru/sectors/natural-supplements.md, ./_dimensions/ru/sectors/natural-supplements.md"
artisan-ceramics,ru,sectors,"./_discovery/ru/sectors/artisan-ceramics.md, ./_dimensions/ru/sectors/artisan-ceramics.md"
artisanal-spirits,ru,sectors,"./_discovery/ru/sectors/artisanal-spirits.md, ./_dimensions/ru/sectors/artisanal-spirits.md"
cured-meats,ru,sectors,"./_discovery/ru/sectors/cured-meats.md, ./_dimensions/ru/sectors/cured-meats.md"
natural-beauty,ru,sectors,"./_discovery/ru/sectors/natural-beauty.md, ./_dimensions/ru/sectors/natural-beauty.md"
fashion-accessories,ru,sectors,"./_discovery/ru/sectors/fashion-accessories.md, ./_dimensions/ru/sectors/fashion-accessories.md"
halal-foods,ru,sectors,"./_discovery/ru/sectors/halal-foods.md, ./_dimensions/ru/sectors/halal-foods.md"
natural-supplements,zh,sectors,"./_discovery/zh/sectors/natural-supplements.md, ./_dimensions/zh/sectors/natural-supplements.md"
artisan-ceramics,zh,sectors,"./_discovery/zh/sectors/artisan-ceramics.md, ./_dimensions/zh/sectors/artisan-ceramics.md"
artisanal-spirits,zh,sectors,"./_discovery/zh/sectors/artisanal-spirits.md, ./_dimensions/zh/sectors/artisanal-spirits.md"
cured-meats,zh,sectors,"./_discovery/zh/sectors/cured-meats.md, ./_dimensions/zh/sectors/cured-meats.md"
natural-beauty,zh,sectors,"./_discovery/zh/sectors/natural-beauty.md, ./_dimensions/zh/sectors/natural-beauty.md"
fashion-accessories,zh,sectors,"./_discovery/zh/sectors/fashion-accessories.md, ./_dimensions/zh/sectors/fashion-accessories.md"
halal-foods,zh,sectors,"./_discovery/zh/sectors/halal-foods.md, ./_dimensions/zh/sectors/halal-foods.md"
natural-supplements,en,sectors,"./_discovery/en/sectors/natural-supplements.md, ./_dimensions/en/sectors/natural-supplements.md"
artisan-ceramics,en,sectors,"./_discovery/en/sectors/artisan-ceramics.md, ./_dimensions/en/sectors/artisan-ceramics.md"
artisanal-spirits,en,sectors,"./_discovery/en/sectors/artisanal-spirits.md, ./_dimensions/en/sectors/artisanal-spirits.md"
cured-meats,en,sectors,"./_discovery/en/sectors/cured-meats.md, ./_dimensions/en/sectors/cured-meats.md"
natural-beauty,en,sectors,"./_discovery/en/sectors/natural-beauty.md, ./_dimensions/en/sectors/natural-beauty.md"
fashion-accessories,en,sectors,"./_discovery/en/sectors/fashion-accessories.md, ./_dimensions/en/sectors/fashion-accessories.md"
