Page_name,Language,Hero_title_field_source,Hero_subtitle_field_source,Title_content_exists,Subtitle_content_exists,Template_implementation,Notes
About,EN,about.title,about.description,YES,YES,TRANSLATION_HELPER,Uses helpers/t.html with fallback
About,RU,about.title,about.description,YES,YES,TRANSLATION_HELPER,Uses helpers/t.html with fallback
About,ZH,about.title,about.description,YES,YES,TRANSLATION_HELPER,Uses helpers/t.html with fallback
Brands,EN,brands.title,brands.hero_subtitle,YES,YES,TRANSLATION_HELPER,Uses helpers/t.html with fallback
Brands,RU,brands.title,brands.hero_subtitle,YES,YES,TRANSLATION_HELPER,Uses helpers/t.html with fallback
Brands,ZH,brands.title,brands.hero_subtitle,YES,YES,TRANSLATION_HELPER,Uses helpers/t.html with fallback
Founders,EN,founders.title,founders.hero_subtitle,YES,YES,TRANSLATION_HELPER,Uses helpers/t.html with fallback
Founders,RU,founders.title,founders.hero_subtitle,YES,YES,TRANSLATION_HELPER,Uses helpers/t.html with fallback
Founders,ZH,founders.title,founders.hero_subtitle,YES,YES,TRANSLATION_HELPER,Uses helpers/t.html with fallback
Discovery,EN,discovery.discover_title,discovery.discover_subtitle,YES,YES,TRANSLATION_HELPER,Uses helpers/t.html with fallback
Discovery,RU,discovery.discover_title,discovery.discover_subtitle,YES,YES,TRANSLATION_HELPER,Uses helpers/t.html with fallback
Discovery,ZH,discovery.discover_title,discovery.discover_subtitle,YES,YES,TRANSLATION_HELPER,Uses helpers/t.html with fallback
Insights,EN,insights.hero_title,insights.hero_subtitle,YES,YES,DIRECT_YAML_ACCESS,Uses {{ t.hero_title | default: fallback }}
Insights,RU,insights.hero_title,insights.hero_subtitle,YES,YES,DIRECT_YAML_ACCESS,Uses {{ t.hero_title | default: fallback }}
Insights,ZH,insights.hero_title,insights.hero_subtitle,YES,YES,DIRECT_YAML_ACCESS,Uses {{ t.hero_title | default: fallback }}
Journal,EN,journal.hero_title,journal.hero_subtitle,YES,YES,DIRECT_YAML_ACCESS,Complex template supporting landing/post modes
Journal,RU,journal.hero_title,journal.hero_subtitle,YES,YES,DIRECT_YAML_ACCESS,Complex template supporting landing/post modes
Journal,ZH,journal.hero_title,journal.hero_subtitle,YES,YES,DIRECT_YAML_ACCESS,Complex template supporting landing/post modes
Discover,EN,MIXED,MIXED,VARIES,VARIES,COMPLEX_LOGIC,Uses dimension-specific logic and multiple fallbacks
Discover,RU,MIXED,MIXED,VARIES,VARIES,COMPLEX_LOGIC,Uses dimension-specific logic and multiple fallbacks
Discover,ZH,MIXED,MIXED,VARIES,VARIES,COMPLEX_LOGIC,Uses dimension-specific logic and multiple fallbacks