file_path,file_type,css_matches,html_matches,liquid_matches,front_matter_matches,total_matches
./_archive/tags.css,css,117,0,0,0,117
./_archive/tag.html,html,0,75,1,0,76
./_layouts/dimension.html,html,0,65,0,0,65
./_scripts/_dev_journals/2025-03-16 brandmine-tag-system.md,md,0,19,20,10,49
./_scripts/_dev_journals/2025-03-21 brandmine-tagging-strategy and implementation.md,md,0,16,18,8,42
./_scripts/_dev_journals/2025-03-22 jekyll-multilingual-tagging-system.md,md,0,6,13,1,20
./_scripts/_dev_journals/2025-03-22-country-tag-implementation-summary.md,md,0,3,13,4,20
./pages/ru/index.html,html,0,20,0,0,20
./pages/zh/index.html,html,0,20,0,0,20
./pages/en/index.html,html,0,20,0,0,20
./_scripts/_dev_journals/2025-03-16 brandmine-blog-structure-summary.md,md,0,5,8,4,17
./_scripts/_dev_journals/2025-03-22 enhanced-summary-script-update.md,md,0,0,0,17,17
./_scripts/_dev_journals/2025-03-21 jekyll-tag-implementation.md,md,0,8,7,1,16
./assets/css/collections/dimensions/dimensions.css,css,15,0,0,0,15
./assets/css/pages/discovery.css,css,15,0,0,0,15
./assets/css-backup/collections/dimensions/dimensions.css,css,15,0,0,0,15
./assets/css-backup/pages/discovery.css,css,15,0,0,0,15
./pages/ru/discovery.md,md,0,14,0,0,14
./pages/zh/discovery.md,md,0,14,0,0,14
./pages/en/discovery.md,md,0,14,0,0,14
./_archive/tag-cloud.html,html,0,5,7,0,12
./_scripts/_dev_journals/2025-03-24 context snippets.md,md,0,7,0,4,11
./pages/ru/brands.md,md,0,11,0,0,11
./pages/zh/brands.md,md,0,11,0,0,11
./pages/en/brands.md,md,0,11,0,0,11
./_scripts/_dev_journals/2025-03-16 brandmine-tag-priority.md,md,0,0,0,10,10
./assets/css/collections/insights/insights-grid-categories.css,css,9,0,0,0,9
./assets/css-backup/collections/insights/insights-grid-categories.css,css,9,0,0,0,9
./_layouts/insight.html,html,0,8,0,0,8
./_archive/tag-list.html,html,0,2,6,0,8
./_scripts/_context_snippets/component_examples.md,md,0,7,0,0,7
./pages/ru/discover/attributes.md,md,0,6,1,0,7
./pages/zh/discover/attributes.md,md,0,6,1,0,7
./pages/en/discover/attributes.md,md,0,6,1,0,7
./pages/ru/discover/signals.md,md,0,6,0,0,6
./pages/zh/discover/signals.md,md,0,6,0,0,6
./pages/en/discover/signals.md,md,0,6,0,0,6
./_scripts/_dev_journals/2025-04-02 brandmine-context-package.md,md,0,5,0,0,5
./pages/ru/search.md,md,0,5,0,0,5
./pages/ru/404.md,md,0,5,0,0,5
./pages/zh/search.md,md,0,5,0,0,5
./pages/zh/404.md,md,0,5,0,0,5
./pages/en/search.md,md,0,5,0,0,5
./pages/en/404.md,md,0,5,0,0,5
./pages/en/discover/sectors.md,md,0,5,0,0,5
./_includes/components/carousels/featured-brands-carousel.html,html,0,3,1,0,4
./_includes/collections/dimensions/discovery-dimensions-grid.html,html,0,4,0,0,4
./_scripts/_context_snippets/tag_system.md,md,0,0,0,4,4
./_scripts/_dev_journals/2025-03-22 development-journal-entry.md,md,0,0,4,0,4
./_layouts/insights.html,html,0,4,0,0,4
./_layouts/brand.html,html,0,4,0,0,4
./_archive/featured-brands-carousel.html,html,0,3,1,0,4
./_archive/discovery-dimensions-grid.html,html,0,4,0,0,4
./_includes/components/cards/brand-card.html,html,0,3,0,0,3
./_includes/components/cards/insight-card.html,html,0,3,0,0,3
./_includes/collections/insights/insights-feed.html,html,0,2,1,0,3
./_includes/collections/insights/latest-insights-grid.html,html,0,2,1,0,3
./_archive/brand-card.html,html,0,3,0,0,3
./_archive/insights-feed.html,html,0,2,1,0,3
./_archive/latest-insights-grid.html,html,0,2,1,0,3
./_archive/insight-card.html,html,0,3,0,0,3
./pages/en/styleguide/components/icons-test.md,md,0,0,3,0,3
./_includes/components/cards/featured-brand.html,html,0,1,1,0,2
./_includes/components/content/featured-content.html,html,0,0,2,0,2
./_scripts/_dev_journals/2025-03-27_DevJournal_Brand_Relationship_Terminology_Changes.md,md,0,2,0,0,2
./_scripts/_dev_journals/2025-03-23 Technical Briefing for Brandmine Implementation.md,md,0,0,1,1,2
./_scripts/_dev_journals/2025-03-23 updated-implementation-guide-for-insights.md,md,0,1,0,1,2
./_layouts/dimension-specific/signals.html,html,0,0,2,0,2
./_layouts/dimension-specific/markets.html,html,0,0,2,0,2
./_layouts/dimension-specific/sectors.html,html,0,0,2,0,2
./_archive/featured-brand.html,html,0,1,1,0,2
./_archive/featured-content.html,html,0,0,2,0,2
./CLAUDE.md,md,0,0,0,1,1
./_includes/layout/footer.html,html,0,1,0,0,1
./_includes/collections/brands/related-brands-list.html,html,0,0,1,0,1
./_scripts/_dev_journals/2025-04-01 dev-journal_homepage cleanup.md,md,0,1,0,0,1
./_docs/templates/tag-attribute-en.md,md,0,0,0,1,1
./_docs/templates/tag-attribute-zh.md,md,0,0,0,1,1
./_docs/templates/tag-market-zh.md,md,0,0,0,1,1
./_docs/templates/tag-signal-en.md,md,0,0,0,1,1
./_docs/templates/tag-signal-zh.md,md,0,0,0,1,1
./_docs/templates/tag-market-en.md,md,0,0,0,1,1
./_docs/templates/tag-sector-en.md,md,0,0,0,1,1
./_docs/templates/tag-sector-zh.md,md,0,0,0,1,1
./_docs/templates/tag-sector-ru.md,md,0,0,0,1,1
./_docs/templates/tag-market-ru.md,md,0,0,0,1,1
./_docs/templates/tag-signal-ru.md,md,0,0,0,1,1
./_docs/templates/tag-attribute-ru.md,md,0,0,0,1,1
./_tags/ru/sectors/natural-beauty-products.md,md,0,0,0,1,1
./_tags/ru/sectors/natural-food-supplements.md,md,0,0,0,1,1
./_tags/ru/sectors/fashion.md,md,0,0,0,1,1
./_tags/ru/sectors/gourmet-foods.md,md,0,0,0,1,1
./_tags/ru/sectors/fermented-dairy.md,md,0,0,0,1,1
./_tags/ru/sectors/honey-bee-products.md,md,0,0,0,1,1
./_tags/ru/sectors/specialty-cheeses.md,md,0,0,0,1,1
./_tags/ru/sectors/halal-food-products.md,md,0,0,0,1,1
./_tags/ru/sectors/mineral-waters.md,md,0,0,0,1,1
./_tags/ru/sectors/artisanal-spirits-vodka.md,md,0,0,0,1,1
./_tags/ru/sectors/jewelry-watches.md,md,0,0,0,1,1
./_tags/ru/sectors/artisan-porcelain-ceramics.md,md,0,0,0,1,1
./_tags/ru/sectors/salami-cured-meats.md,md,0,0,0,1,1
./_tags/ru/sectors/artisan-confectionery.md,md,0,0,0,1,1
./_tags/ru/sectors/hotels-resorts.md,md,0,0,0,1,1
./_tags/ru/sectors/wine.md,md,0,0,0,1,1
./_tags/ru/signals/investment-ready.md,md,0,0,0,1,1
./_tags/ru/signals/export-ready.md,md,0,0,0,1,1
./_tags/ru/signals/franchise-ready.md,md,0,0,0,1,1
./_tags/ru/signals/rapid-growth.md,md,0,0,0,1,1
./_tags/ru/attributes/premium-positioning.md,md,0,0,0,1,1
./_tags/ru/attributes/innovation-leader.md,md,0,0,0,1,1
./_tags/ru/attributes/cultural-ambassador.md,md,0,0,0,1,1
./_tags/ru/attributes/artisanal-excellence.md,md,0,0,0,1,1
./_tags/ru/attributes/sustainability-pioneer.md,md,0,0,0,1,1
./_tags/ru/attributes/founder-led.md,md,0,0,0,1,1
./_tags/ru/attributes/regional-icon.md,md,0,0,0,1,1
./_tags/ru/attributes/heritage-brand.md,md,0,0,0,1,1
./_tags/ru/markets/china.md,md,0,0,0,1,1
./_tags/ru/markets/brazil.md,md,0,0,0,1,1
./_tags/ru/markets/south-africa.md,md,0,0,0,1,1
./_tags/ru/markets/india.md,md,0,0,0,1,1
./_tags/ru/markets/russia.md,md,0,0,0,1,1
./_tags/zh/sectors/natural-beauty-products.md,md,0,0,0,1,1
./_tags/zh/sectors/natural-food-supplements.md,md,0,0,0,1,1
./_tags/zh/sectors/fashion.md,md,0,0,0,1,1
./_tags/zh/sectors/gourmet-foods.md,md,0,0,0,1,1
./_tags/zh/sectors/fermented-dairy.md,md,0,0,0,1,1
./_tags/zh/sectors/honey-bee-products.md,md,0,0,0,1,1
./_tags/zh/sectors/specialty-cheeses.md,md,0,0,0,1,1
./_tags/zh/sectors/halal-food-products.md,md,0,0,0,1,1
./_tags/zh/sectors/mineral-waters.md,md,0,0,0,1,1
./_tags/zh/sectors/artisanal-spirits-vodka.md,md,0,0,0,1,1
./_tags/zh/sectors/jewelry-watches.md,md,0,0,0,1,1
./_tags/zh/sectors/artisan-porcelain-ceramics.md,md,0,0,0,1,1
./_tags/zh/sectors/salami-cured-meats.md,md,0,0,0,1,1
./_tags/zh/sectors/artisan-confectionery.md,md,0,0,0,1,1
./_tags/zh/sectors/hotels-resorts.md,md,0,0,0,1,1
./_tags/zh/sectors/wine.md,md,0,0,0,1,1
./_tags/zh/signals/investment-ready.md,md,0,0,0,1,1
./_tags/zh/signals/export-ready.md,md,0,0,0,1,1
./_tags/zh/signals/franchise-ready.md,md,0,0,0,1,1
./_tags/zh/signals/rapid-growth.md,md,0,0,0,1,1
./_tags/zh/attributes/premium-positioning.md,md,0,0,0,1,1
./_tags/zh/attributes/innovation-leader.md,md,0,0,0,1,1
./_tags/zh/attributes/cultural-ambassador.md,md,0,0,0,1,1
./_tags/zh/attributes/artisanal-excellence.md,md,0,0,0,1,1
./_tags/zh/attributes/sustainability-pioneer.md,md,0,0,0,1,1
./_tags/zh/attributes/founder-led.md,md,0,0,0,1,1
./_tags/zh/attributes/regional-icon.md,md,0,0,0,1,1
./_tags/zh/attributes/heritage-brand.md,md,0,0,0,1,1
./_tags/zh/markets/china.md,md,0,0,0,1,1
./_tags/zh/markets/brazil.md,md,0,0,0,1,1
./_tags/zh/markets/south-africa.md,md,0,0,0,1,1
./_tags/zh/markets/india.md,md,0,0,0,1,1
./_tags/zh/markets/russia.md,md,0,0,0,1,1
./_tags/en/sectors/natural-beauty-products.md,md,0,0,0,1,1
./_tags/en/sectors/natural-food-supplements.md,md,0,0,0,1,1
./_tags/en/sectors/fashion.md,md,0,0,0,1,1
./_tags/en/sectors/gourmet-foods.md,md,0,0,0,1,1
./_tags/en/sectors/fermented-dairy.md,md,0,0,0,1,1
./_tags/en/sectors/honey-bee-products.md,md,0,0,0,1,1
./_tags/en/sectors/specialty-cheeses.md,md,0,0,0,1,1
./_tags/en/sectors/halal-food-products.md,md,0,0,0,1,1
./_tags/en/sectors/mineral-waters.md,md,0,0,0,1,1
./_tags/en/sectors/artisanal-spirits-vodka.md,md,0,0,0,1,1
./_tags/en/sectors/jewelry-watches.md,md,0,0,0,1,1
./_tags/en/sectors/artisan-porcelain-ceramics.md,md,0,0,0,1,1
./_tags/en/sectors/salami-cured-meats.md,md,0,0,0,1,1
./_tags/en/sectors/artisan-confectionery.md,md,0,0,0,1,1
./_tags/en/sectors/hotels-resorts.md,md,0,0,0,1,1
./_tags/en/sectors/wine.md,md,0,0,0,1,1
./_tags/en/signals/investment-ready.md,md,0,0,0,1,1
./_tags/en/signals/export-ready.md,md,0,0,0,1,1
./_tags/en/signals/franchise-ready.md,md,0,0,0,1,1
./_tags/en/signals/rapid-growth.md,md,0,0,0,1,1
./_tags/en/attributes/premium-positioning.md,md,0,0,0,1,1
./_tags/en/attributes/innovation-leader.md,md,0,0,0,1,1
./_tags/en/attributes/cultural-ambassador.md,md,0,0,0,1,1
./_tags/en/attributes/artisanal-excellence.md,md,0,0,0,1,1
./_tags/en/attributes/sustainability-pioneer.md,md,0,0,0,1,1
./_tags/en/attributes/founder-led.md,md,0,0,0,1,1
./_tags/en/attributes/regional-icon.md,md,0,0,0,1,1
./_tags/en/attributes/heritage-brand.md,md,0,0,0,1,1
./_tags/en/markets/china.md,md,0,0,0,1,1
./_tags/en/markets/brazil.md,md,0,0,0,1,1
./_tags/en/markets/south-africa.md,md,0,0,0,1,1
./_tags/en/markets/india.md,md,0,0,0,1,1
./_tags/en/markets/russia.md,md,0,0,0,1,1
./_data/translations/en.yml,yml,0,0,0,1,1
./_data/translations/ru.yml,yml,0,0,0,1,1
./_data/translations/zh.yml,yml,0,0,0,1,1
./_archive/related-brands-list.html,html,0,0,1,0,1
./_archive/claude-context.md,md,0,1,0,0,1
./_archive/footer.html,html,0,1,0,0,1
./assets/css/components/carousels/featured-brands-carousel.css,css,1,0,0,0,1
./assets/css/components/dimension/discovery-dimensions-grid.css,css,1,0,0,0,1
./assets/css/collections/insights/latest-insights-grid.css,css,1,0,0,0,1
./assets/css-backup/components/carousels/featured-brands-carousel.css,css,1,0,0,0,1
./assets/css-backup/components/dimension/discovery-dimensions-grid.css,css,1,0,0,0,1
./assets/css-backup/collections/insights/latest-insights-grid.css,css,1,0,0,0,1
./pages/en/styleguide/patterns/navigation.md,md,0,1,0,0,1
